🕘️更新时间,#genre#
2026-08-20 11:35:00,http://php.jdshipin.com:8880/gztv.php?id=jingsai

🍄┃广东频道,#genre#
广州竞赛,http://php.jdshipin.com:8880/gztv.php?id=jingsai
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-34.ctv
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-38.ctv
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-32.ctv
广州竞赛,https://stream1.freetv.fun/yan-zhou-jing-sai-2.m3u8
广州法治,http://php.jdshipin.com:8880/gztv.php?id=fazhi
广州南国都市频道,http://r.jdshipin.com/nWaZO
广东卫视,rtmp://yftv-wshls.yzbtv.cn/live/1bd69
深圳卫视,rtmp://yftv-wshls.yzbtv.cn/live/1bd61
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-1.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-6.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-3.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-4.ctv
汕头经济,https://stream1.freetv.fun/shan-tou-jing-ji-2.ctv
纪实人文,http://[2409:8087:5e08:24::11]:6610/000000001000/5000000004000010282/index.m3u8?channel-id=bestzb&Contentid=5000000004000010282&livemode=1&stbId=3
纪实人文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225738/index.m3u8
纪实人文,https://stream1.freetv.fun/ipv6-ji-shi-ren-wen-12.m3u8

🍉┃咪咕频道,#genre#
CCTV-01咪咕,https://iptv.1989.click/cn/8wm36d?token=809757d162de6309a62f31059658f8321e83ec7a1097ecc1
CCTV-01咪咕,rtmp://yftv-wshls.yzbtv.cn/live/4387
CCTV-02咪咕,https://iptv.1989.click/cn/ata9yq?token=809757d162de6309a62f31059658f8321e83ec7a1097ecc1
CCTV-02咪咕,rtmp://yftv-wshls.yzbtv.cn/live/11ecc
CCTV-03咪咕,https://iptv.1989.click/cn/rrctzq?token=809757d162de6309a62f31059658f8321e83ec7a1097ecc1
CCTV-03咪咕,rtmp://yftv-wshls.yzbtv.cn/live/11ef4
